#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-10T05:59:27 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-10T05:59:27	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=999999&-out.all=2&-order=I&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out.src=J/ApJ/705/1099/lenses&-source=J/ApJ/705/1099/lenses&-out=SDSS&-out=zlens&-out=zsrc&-out=sigma&-out=e_sigma&-out=MType&-out=f_MType&-out=Bmag&-out=Re(B)&-out=Vmag&-out=f_Vmag&-out=Re(V)&-out=Imag&-out=Re(I)&-out=Hmag&-out=RE&-out=Mass&-out=Fc&-out=e_Fc&-out=Fs&-out=e_Fs&-out=F&-out=logMc&-out=e_logMc&-out=logMs&-out=e_logMs&-out=BMag&-out=e_BMag&-out=VMag&-out=e_VMag&-out=BMag0&-out=e_BMag0&-out=VMag0&-out=e_VMag0&-out=SLACS&-out=Sloan&-out=Simbad&-out=RAJ2000&-out=DEJ2000&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_17051099
#Name: J/ApJ/705/1099
#Title: The Sloan Lens ACS (SLACS) Survey. IX. (Auger+, 2009)
#INFO	ivoid=ivo://cds.vizier/j/apj/705/1099	    IVOID of underlying data collection
#INFO	creator=Auger M.W.	    First author or institution
#INFO	cites=bibcode:2009ApJ...705.1099A	    Article or Data origin sources
#INFO	editor=Astrophysical Journal (AAS)	    Editor name (article)
#INFO	original_date=2009	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/705/1099	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.17051099	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-30	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_705_1099_lenses:
#Name: J/ApJ/705/1099/lenses
#Title: Photometric and spectroscopic properties   and lensing and stellar population properties   of SLACS lenses
#Column	SDSS	(A10)	SLACS SDSS name (JHHMM+DDMM)	[ucd=meta.id;meta.main]
#Column	zlens	(F6.3)	Lens redshift	[ucd=src.redshift]
#Column	zsrc	(F6.3)	Source redshift	[ucd=src.redshift]
#Column	sigma	(I3)	Lensing galaxy velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	e_sigma	(I2)	rms uncertainty on sigma	[ucd=stat.error]
#Column	MType	(a5)	Morphological type	[ucd=src.morph.type]
#Column	f_MType	(A1)	[c] c: the lens galaxy has at least one close companion galaxy	[ucd=meta.code]
#Column	Bmag	(F5.2)	? HST/ACS B-band magnitude (F435W)	[ucd=phot.mag;em.opt.B]
#Column	Re(B)	(F5.2)	? Effective radius (measured at the intermediate axis) in B-band	[ucd=phys.angSize;em.opt.B]
#Column	Vmag	(F5.2)	? HST V-band magnitude (F555W or F606W)	[ucd=phot.mag;em.opt.V]
#Column	f_Vmag	(A1)	[ab]? a: F606W filter on WFPC2 or b: F555W filter on ACS	[ucd=meta.code]
#Column	Re(V)	(F5.2)	? Effective radius (measured at the intermediate axis) in V-band	[ucd=phys.angSize;em.opt.V]
#Column	Imag	(F5.2)	? HST/ACS I-band magnitude (F814W)	[ucd=phot.mag;em.opt.I]
#Column	Re(I)	(F5.2)	? Effective radius (measured at the intermediate axis) in I-band	[ucd=phys.angSize;em.opt.I]
#Column	Hmag	(F5.2)	? HST/NICMOS H-band magnitude (F160W)	[ucd=phot.mag;em.UV.100-200nm]
#Column	RE	(F5.2)	? Einstein radius	[ucd=phys.size.radius]
#Column	Mass	(F5.2)	? Log of mass within the Einstein radius	[ucd=phys.mass]
#Column	Fc	(F5.2)	? The stellar fraction within the Einstein radius for Chabrier IMF (f^Chab^_*,Ein_)	[ucd=phys.mass;arith.ratio]
#Column	e_Fc	(F5.2)	? Fc uncertainty	[ucd=stat.error]
#Column	Fs	(F5.2)	? The stellar fraction within the Einstein radius for Salpeter IMF (f^Salp_*,Ein_)	[ucd=phys.mass;arith.ratio]
#Column	e_Fs	(F5.2)	? Fs uncertainty	[ucd=stat.error]
#Column	F	(F5.2)	? Ratio of the stellar fraction within the Einstein radius to the stellar fraction within the effective radius (f_*,Ein_/f_*,eff_)	[ucd=stat.fit.omc]
#Column	logMc	(F5.2)	? Stellar mass estimate from Chabrier IMF	[ucd=phys.mass]
#Column	e_logMc	(F5.2)	? Mc uncertainty	[ucd=stat.error]
#Column	logMs	(F5.2)	? Stellar mass estimate from Salpeter IMF	[ucd=phys.mass]
#Column	e_logMs	(F5.2)	? Ms uncertainty	[ucd=stat.error]
#Column	BMag	(F6.2)	? Absolute rest-frame Johnson B-band AB magnitude	[ucd=phys.magAbs;em.opt.B]
#Column	e_BMag	(F5.2)	? BMag uncertainty	[ucd=stat.error;phot.mag;em.opt.B]
#Column	VMag	(F6.2)	? Absolute rest-frame Johnson V-band AB magnitude	[ucd=phys.magAbs;em.opt.V]
#Column	e_VMag	(F5.2)	? VMag uncertainty	[ucd=stat.error;phot.mag;em.opt.V]
#Column	BMag0	(F6.2)	? BMag with composite stellar population (CSP) model at z=0 (1)	[ucd=phot.mag;meta.modelled]
#Column	e_BMag0	(F5.2)	? BMag0 uncertainty	[ucd=stat.error;phot.mag;em.opt.B]
#Column	VMag0	(F6.2)	? VMag with composite stellar population (CSP) model at z=0 (1)	[ucd=phot.mag;meta.modelled]
#Column	e_VMag0	(F5.2)	? VMag0 uncertainty	[ucd=stat.error;phot.mag;em.opt.V]
#Column	SLACS	(a5)	Display the SLACS survey data from Paper V. (Cat. J/ApJ/682/964)	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the SDSS data for this object	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	RAJ2000	(A11)	Hour of right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of declination (J2000)	[ucd=pos.eq.dec;meta.main]
SDSS	zlens	zsrc	sigma	e_sigma	MType	f_MType	Bmag	Re(B)	Vmag	f_Vmag	Re(V)	Imag	Re(I)	Hmag	RE	Mass	Fc	e_Fc	Fs	e_Fs	F	logMc	e_logMc	logMs	e_logMs	BMag	e_BMag	VMag	e_VMag	BMag0	e_BMag0	VMag0	e_VMag0	SLACS	Sloan	Simbad	RAJ2000	DEJ2000
J1204+0358	 0.164	 0.631	267	17	E    	 	19.33	 1.43	17.45	a	 1.65	16.80	 1.09	15.89	 3.68	11.24	 0.40	 0.06	 0.71	 0.10	 0.88	11.20	 0.07	11.45	 0.06	-21.22	 0.06	-22.00	 0.05	-20.97	 0.07	-21.78	 0.07	SLACS	Sloan	Simbad	12 04 44.07	+03 58 06.4
J1205+4910	 0.215	 0.481	281	13	E    	 	19.19	 2.61	17.70	b	 2.59	16.52	 1.79	15.82	 4.27	11.40	 0.36	 0.05	 0.63	 0.09	 0.61	11.48	 0.06	11.72	 0.06	-22.19	 0.05	-22.92	 0.05	-21.86	 0.09	-22.63	 0.08	SLACS	Sloan	Simbad	12 05 40.44	+49 10 29.4
J1213+6708	 0.123	 0.640	292	11	E    	 	     	     	16.28	a	 3.36	15.57	 1.50	15.05	 3.13	11.16	 0.38	 0.08	 0.66	 0.14	 0.62	11.24	 0.10	11.49	 0.09	-21.82	 0.15	-22.48	 0.08	-21.56	 0.12	-22.26	 0.08	SLACS	Sloan	Simbad	12 13 40.58	+67 08 29.0
J1218+0830	 0.135	 0.717	219	10	E    	 	     	     	16.38	a	 3.77	15.71	 2.70	15.02	 3.47	11.21	 0.41	 0.08	 0.72	 0.13	 0.60	11.35	 0.08	11.59	 0.08	-21.90	 0.13	-22.61	 0.08	-21.65	 0.10	-22.39	 0.08	SLACS	Sloan	Simbad	12 18 26.70	+08 30 50.3
J1250+0523	 0.232	 0.795	252	14	E    	 	19.19	 1.93	17.77	b	 1.91	16.64	 1.32	15.78	 4.18	11.26	 0.68	 0.11	 1.20	 0.19	 0.73	11.53	 0.07	11.77	 0.07	-22.37	 0.06	-23.08	 0.06	-21.98	 0.12	-22.75	 0.11	SLACS	Sloan	Simbad	12 50 28.26	+05 23 49.1
J1250-0135	 0.087	 0.353	246	 9	S0/SA	 	16.89	 4.56	15.68	a	 4.01	15.09	 2.03	14.48	     	     	     	     	     	     	     	11.13	 0.06	11.37	 0.06	-21.58	 0.07	-22.22	 0.06	-21.36	 0.08	-22.04	 0.08	SLACS	Sloan	Simbad	12 50 50.52	-01 35 31.7
J1251-0208	 0.224	 0.784	233	23	S    	 	19.54	 3.61	17.71	a	 5.34	17.21	 2.61	     	 3.03	10.98	 0.34	 0.07	 0.59	 0.11	 0.36	11.26	 0.08	11.50	 0.08	-21.84	 0.06	-22.53	 0.07	-21.46	 0.12	-22.20	 0.11	SLACS	Sloan	Simbad	12 51 35.70	-02 08 05.2
J1259+6134	 0.233	 0.449	253	16	E    	 	19.56	 1.78	     	 	     	16.83	 1.81	     	     	     	     	     	     	     	     	11.50	 0.09	11.75	 0.09	-22.11	 0.07	-22.87	 0.08	-21.74	 0.11	-22.54	 0.11	SLACS	Sloan	Simbad	12 59 19.05	+61 34 08.6
J1306+0600	 0.173	 0.472	237	17	E    	 	     	     	17.39	a	 2.34	16.76	 1.25	15.96	 3.87	11.33	 0.27	 0.05	 0.47	 0.08	 0.75	11.19	 0.08	11.43	 0.08	-21.51	 0.12	-22.22	 0.07	-21.20	 0.11	-21.95	 0.09	SLACS	Sloan	Simbad	13 06 13.65	+06 00 22.1
J1313+4615	 0.185	 0.514	263	18	E    	 	     	     	17.29	a	 2.15	16.63	 1.59	15.73	 4.25	11.38	 0.34	 0.07	 0.61	 0.11	 0.77	11.33	 0.09	11.58	 0.08	-21.81	 0.12	-22.53	 0.07	-21.47	 0.11	-22.24	 0.10	SLACS	Sloan	Simbad	13 13 02.93	+46 15 13.6
J1313+0506	 0.144	 0.339	221	17	S    	 	     	     	17.71	a	 1.53	17.03	 0.97	16.25	     	     	     	     	     	     	     	10.92	 0.08	11.16	 0.08	-20.71	 0.12	-21.45	 0.07	-20.46	 0.10	-21.23	 0.08	SLACS	Sloan	Simbad	13 13 26.70	+05 06 57.2
J1318-0313	 0.240	 1.300	213	18	E    	 	     	     	17.54	a	 4.18	16.80	 2.51	16.06	 6.01	11.50	 0.24	 0.05	 0.42	 0.08	 0.57	11.43	 0.09	11.67	 0.09	-22.37	 0.10	-23.02	 0.07	-21.94	 0.12	-22.66	 0.12	SLACS	Sloan	Simbad	13 18 39.33	-03 13 34.2
J1319+1504	 0.154	 0.606	235	14	E/S0 	 	     	     	17.89	a	 1.44	17.23	 0.77	16.32	     	     	     	     	     	     	     	10.94	 0.08	11.19	 0.08	-20.71	 0.12	-21.46	 0.07	-20.44	 0.10	-21.22	 0.09	SLACS	Sloan	Simbad	13 19 32.50	+15 04 26.0
J1330-0148	 0.081	 0.711	185	 9	S0   	 	18.91	 1.00	17.56	a	 1.36	16.92	 0.96	16.18	 1.32	10.52	 0.39	 0.06	 0.69	 0.10	 0.97	10.43	 0.06	10.67	 0.06	-19.46	 0.06	-20.19	 0.06	-19.32	 0.07	-20.07	 0.07	SLACS	Sloan	Simbad	13 30 45.53	-01 48 41.6
J1402+6321	 0.205	 0.481	267	17	E    	 	19.07	 2.56	17.51	b	 2.62	16.30	 2.29	15.55	 4.53	11.46	 0.40	 0.06	 0.70	 0.10	 0.65	11.55	 0.07	11.79	 0.06	-22.24	 0.05	-23.00	 0.05	-21.93	 0.08	-22.72	 0.07	SLACS	Sloan	Simbad	14 02 28.21	+63 21 33.5
J1403+0006	 0.189	 0.473	213	17	E    	 	     	     	17.64	a	 1.87	17.02	 1.14	16.11	 2.62	10.98	 0.54	 0.10	 0.94	 0.18	 0.65	11.20	 0.08	11.44	 0.08	-21.49	 0.11	-22.21	 0.07	-21.15	 0.11	-21.92	 0.10	SLACS	Sloan	Simbad	14 03 29.49	+00 06 41.4
J1416+5136	 0.299	 0.811	240	25	E    	 	     	     	18.58	a	 1.38	17.55	 0.98	16.70	 6.08	11.56	 0.35	 0.06	 0.61	 0.11	 1.01	11.40	 0.08	11.64	 0.08	-22.00	 0.09	-22.73	 0.07	-21.54	 0.12	-22.33	 0.11	SLACS	Sloan	Simbad	14 16 22.34	+51 36 30.4
J1420+6019	 0.063	 0.535	205	 4	S0   	 	16.88	 2.35	15.94	b	 2.12	15.05	 2.25	14.37	 1.26	10.59	 0.69	 0.10	 1.22	 0.17	 0.63	10.93	 0.06	11.17	 0.06	-20.79	 0.06	-21.49	 0.05	-20.67	 0.07	-21.39	 0.07	SLACS	Sloan	Simbad	14 20 15.85	+60 19 14.8
J1430+4105	 0.285	 0.575	322	32	E    	 	     	     	17.80	a	 2.71	16.85	 2.55	     	 6.53	11.73	 0.33	 0.09	 0.59	 0.16	 0.75	11.68	 0.12	11.93	 0.11	-22.58	 0.09	-23.34	 0.07	-22.12	 0.12	-22.94	 0.12	SLACS	Sloan	Simbad	14 30 04.10	+41 05 57.1
J1432+6317	 0.123	 0.664	199	 8	S    	 	     	     	15.78	a	 6.21	15.13	 3.04	14.53	 2.78	11.05	 0.39	 0.07	 0.69	 0.13	 0.30	11.46	 0.08	11.71	 0.09	-22.29	 0.13	-22.97	 0.07	-22.06	 0.10	-22.77	 0.08	SLACS	Sloan	Simbad	14 32 13.34	+63 17 03.8
J1436+3640	 0.185	 0.758	281	19	E    	c	     	     	16.95	a	 4.64	     	     	     	     	     	     	     	     	     	     	     	     	     	     	      	     	      	     	      	     	      	     	SLACS	Sloan	Simbad	14 36 05.63	+36 40 47.1
J1436-0000	 0.285	 0.805	224	17	E    	 	     	     	17.94	a	 2.94	17.16	 1.63	16.38	 4.80	11.36	 0.37	 0.07	 0.65	 0.13	 0.60	11.45	 0.08	11.69	 0.09	-22.44	 0.10	-23.10	 0.06	-21.94	 0.13	-22.67	 0.13	SLACS	Sloan	Simbad	14 36 27.54	-00 00 29.2
J1443+0304	 0.134	 0.419	209	11	S0   	 	19.21	 1.13	17.62	a	 1.38	17.00	 0.70	16.24	 1.93	10.78	 0.50	 0.07	 0.90	 0.13	 0.83	10.87	 0.06	11.12	 0.06	-20.60	 0.06	-21.33	 0.05	-20.37	 0.08	-21.13	 0.08	SLACS	Sloan	Simbad	14 43 19.62	+03 04 08.2
J1451-0239	 0.125	 0.520	223	14	E    	 	17.88	 3.49	16.92	b	 2.64	15.92	 1.54	15.27	 2.33	10.92	 0.47	 0.07	 0.80	 0.12	 0.54	11.17	 0.07	11.39	 0.06	-21.57	 0.06	-22.26	 0.05	-21.34	 0.08	-22.06	 0.08	SLACS	Sloan	Simbad	14 51 28.19	-02 39 36.4
J1525+3327	 0.358	 0.717	264	26	E    	 	     	     	18.10	a	 3.40	17.07	 2.42	16.09	 6.55	11.68	 0.38	 0.08	 0.66	 0.13	 0.60	11.78	 0.09	12.02	 0.09	-23.03	 0.08	-23.76	 0.06	-22.46	 0.15	-23.26	 0.14	SLACS	Sloan	Simbad	15 25 06.70	+33 27 47.4
J1531-0105	 0.160	 0.744	279	12	E    	 	     	     	16.43	a	 3.32	15.79	 1.97	15.14	 4.71	11.43	 0.37	 0.08	 0.66	 0.13	 0.75	11.43	 0.09	11.68	 0.09	-22.31	 0.14	-22.97	 0.07	-21.98	 0.11	-22.69	 0.09	SLACS	Sloan	Simbad	15 31 50.07	-01 05 45.7
J1538+5817	 0.143	 0.531	189	12	E    	 	     	     	17.42	a	 1.59	16.63	 1.00	15.99	 2.50	10.95	 0.48	 0.08	 0.84	 0.15	 0.80	11.03	 0.08	11.28	 0.08	-21.05	 0.11	-21.77	 0.07	-20.81	 0.10	-21.56	 0.08	SLACS	Sloan	Simbad	15 38 12.92	+58 17 09.8
J1614+4522	 0.178	 0.811	182	13	E    	 	     	     	17.50	a	 2.93	16.80	 2.58	     	 2.54	10.86	 0.48	 0.15	 0.88	 0.25	 0.44	11.21	 0.13	11.47	 0.12	-21.50	 0.13	-22.22	 0.07	-21.18	 0.12	-21.94	 0.10	SLACS	Sloan	Simbad	16 14 37.74	+45 22 53.3
J1618+4353	 0.199	 0.666	292	29	E    	c	19.27	 2.53	     	 	     	17.08	 1.80	     	     	     	     	     	     	     	     	11.14	 0.09	11.39	 0.09	-21.65	 0.07	-22.30	 0.09	-21.19	 0.14	-21.92	 0.15	SLACS	Sloan	Simbad	16 18 43.10	+43 53 27.4
J1621+3931	 0.245	 0.602	236	20	E    	 	19.27	 2.85	17.55	a	 2.77	16.79	 1.51	16.08	 4.97	11.47	 0.34	 0.05	 0.60	 0.09	 0.70	11.45	 0.06	11.70	 0.07	-22.37	 0.06	-23.05	 0.06	-21.97	 0.11	-22.70	 0.10	SLACS	Sloan	Simbad	16 21 32.99	+39 31 44.6
J1627-0053	 0.208	 0.524	290	14	E    	 	19.42	 2.02	17.87	b	 2.05	16.71	 1.98	     	 4.18	11.36	 0.46	 0.09	 0.80	 0.16	 0.73	11.45	 0.09	11.70	 0.09	-21.93	 0.06	-22.70	 0.07	-21.61	 0.09	-22.41	 0.09	SLACS	Sloan	Simbad	16 27 46.45	-00 53 57.6
J1630+4520	 0.248	 0.793	276	16	E    	 	19.76	 1.81	18.08	b	 2.05	16.77	 1.65	15.80	 6.91	11.69	 0.39	 0.07	 0.69	 0.11	 0.93	11.61	 0.07	11.86	 0.07	-22.24	 0.05	-23.04	 0.05	-21.88	 0.08	-22.71	 0.08	SLACS	Sloan	Simbad	16 30 28.16	+45 20 36.3
J1636+4707	 0.228	 0.675	231	15	E    	 	19.62	 1.76	17.79	a	 1.84	16.98	 1.68	     	 3.96	11.25	 0.53	 0.10	 0.95	 0.18	 0.78	11.38	 0.08	11.63	 0.08	-21.91	 0.06	-22.65	 0.07	-21.55	 0.10	-22.33	 0.10	SLACS	Sloan	Simbad	16 36 02.62	+47 07 29.6
J1644+2625	 0.137	 0.610	229	12	E    	 	     	     	16.85	a	 2.32	16.22	 1.55	15.46	 3.07	11.12	 0.46	 0.09	 0.81	 0.15	 0.79	11.18	 0.09	11.43	 0.08	-21.45	 0.13	-22.16	 0.07	-21.19	 0.10	-21.94	 0.09	SLACS	Sloan	Simbad	16 44 43.09	+26 25 25.4
J1709+2324	 0.347	 0.719	286	30	E    	 	     	     	18.51	a	 2.06	     	     	     	 4.94	11.43	     	     	     	     	     	     	     	     	     	      	     	      	     	      	     	      	     	SLACS	Sloan	Simbad	17 09 38.96	+23 24 08.4
J1718+6424	 0.090	 0.737	273	16	E    	c	17.39	 4.69	16.15	a	 4.51	15.39	 1.70	15.35	     	     	     	     	     	     	     	10.89	 0.06	11.13	 0.06	-21.19	 0.07	-21.79	 0.05	-20.96	 0.07	-21.61	 0.07	SLACS	Sloan	Simbad	17 18 37.39	+64 24 52.2
J1719+2939	 0.181	 0.578	286	15	E/S0 	 	     	     	17.52	a	 1.83	16.87	 1.46	15.99	 3.89	11.28	 0.40	 0.08	 0.71	 0.14	 0.94	11.22	 0.08	11.46	 0.08	-21.50	 0.12	-22.22	 0.07	-21.17	 0.10	-21.94	 0.10	SLACS	Sloan	Simbad	17 19 34.16	+29 39 26.4
J2141-0001	 0.138	 0.713	181	14	S    	 	     	     	     	 	     	16.72	 1.81	     	     	     	     	     	     	     	     	     	     	     	     	      	     	      	     	      	     	      	     	SLACS	Sloan	Simbad	21 41 54.68	-00 01 12.3
J2238-0754	 0.137	 0.713	198	11	E    	 	18.21	 3.19	17.18	b	 2.41	16.12	 1.82	15.40	 3.08	11.11	 0.41	 0.06	 0.73	 0.11	 0.67	11.20	 0.06	11.45	 0.06	-21.55	 0.06	-22.26	 0.06	-21.31	 0.09	-22.05	 0.09	SLACS	Sloan	Simbad	22 38 40.20	-07 54 56.0
J2300+0022	 0.228	 0.463	279	17	E    	 	19.80	 1.86	18.19	b	 1.93	16.96	 1.52	16.15	 4.51	11.47	 0.33	 0.05	 0.58	 0.09	 0.77	11.40	 0.07	11.65	 0.07	-21.86	 0.05	-22.62	 0.05	-21.52	 0.08	-22.32	 0.08	SLACS	Sloan	Simbad	23 00 53.15	+00 22 38.0
J2302-0840	 0.090	 0.222	237	 8	E    	 	     	     	15.95	a	 3.18	15.45	 1.70	14.80	     	     	     	     	     	     	     	11.04	 0.10	11.27	 0.10	-21.32	 0.17	-21.97	 0.08	-21.12	 0.14	-21.80	 0.08	SLACS	Sloan	Simbad	23 02 20.18	-08 40 49.5
J2303+1422	 0.155	 0.517	255	16	E    	 	17.96	 4.28	16.77	b	 3.54	15.72	 2.94	15.05	 4.35	11.42	 0.34	 0.05	 0.59	 0.09	 0.61	11.47	 0.06	11.71	 0.06	-22.23	 0.06	-22.94	 0.06	-21.96	 0.09	-22.71	 0.09	SLACS	Sloan	Simbad	23 03 21.72	+14 22 17.9
J2321-0939	 0.082	 0.532	249	 8	E    	 	16.52	 5.54	15.27	a	 4.79	14.61	 4.11	     	 2.47	11.08	 0.48	 0.09	 0.84	 0.15	 0.52	11.35	 0.08	11.60	 0.08	-21.83	 0.06	-22.54	 0.06	-21.65	 0.08	-22.40	 0.09	SLACS	Sloan	Simbad	23 21 20.93	-09 39 10.3
J2341+0000	 0.186	 0.807	207	13	E    	 	     	     	17.02	a	 4.52	16.30	 2.36	15.40	 4.50	11.35	 0.38	 0.07	 0.67	 0.13	 0.57	11.48	 0.08	11.73	 0.08	-22.08	 0.11	-22.82	 0.07	-21.76	 0.11	-22.55	 0.10	SLACS	Sloan	Simbad	23 41 11.57	+00 00 18.7
J2343-0030	 0.181	 0.463	269	11	E/S0 	 	     	     	17.17	a	 2.74	     	     	     	 4.62	11.49	     	     	     	     	     	     	     	     	     	      	     	      	     	      	     	      	     	SLACS	Sloan	Simbad	23 43 58.87	-00 30 22.4
J2347-0005	 0.417	 0.714	404	59	E    	 	20.73	 1.81	18.82	a	 1.80	17.83	 1.14	16.85	 6.10	11.67	 0.35	 0.07	 0.62	 0.12	 0.86	11.58	 0.09	11.83	 0.08	-22.82	 0.06	-23.50	 0.06	-22.17	 0.18	-22.93	 0.16	SLACS	Sloan	Simbad	23 47 28.08	-00 05 21.3

